,class,count,true_positives,confidence,iou,false_negatives,false_positives,FNR,FPR
0,construction,20,7,0.9015695963587079,0.4513244458532132,11,6,0.55,0.3
1,bus,14,12,0.9841016580661138,0.8453541396113432,2,8,0.14285714285714285,0.5714285714285714
2,bench_chair,70,50,0.9717877650260925,0.6471660724065644,18,10,0.2571428571428571,0.14285714285714285
3,pole,221,130,0.9583753489531004,0.42565789238743645,97,59,0.43891402714932126,0.2669683257918552
4,sky,703,657,0.9666794968522303,0.5776354323076961,53,39,0.07539118065433854,0.05547652916073969
5,sculpture,55,25,0.9515507173538208,0.547430157542152,32,5,0.5818181818181818,0.09090909090909091
6,building,859,896,0.9647920575392034,0.46231800263746775,46,101,0.05355064027939464,0.11757857974388825
7,person,389,378,0.9845356543858846,0.6394067510675099,29,24,0.07455012853470437,0.061696658097686374
8,plant_horizontal,763,778,0.9625754917188905,0.5427700119806823,30,96,0.039318479685452164,0.1258191349934469
9,bicycle,28,15,0.9644889950752258,0.553179089500166,11,2,0.39285714285714285,0.07142857142857142
10,pavement,681,653,0.9737090888286257,0.6580634765564312,39,41,0.05726872246696035,0.06020558002936858
11,sign,22,7,0.958439324583326,0.6884993238057042,14,6,0.6363636363636364,0.2727272727272727
12,plant_vertical,998,1129,0.960210414826078,0.4219197652527122,44,91,0.04408817635270541,0.09118236472945891
13,car,248,230,0.9690640913403552,0.5903368943470576,15,12,0.06048387096774194,0.04838709677419355
14,scooter,18,8,0.992944210767746,0.4945084207892366,7,0,0.3888888888888889,0.0
