,class,count,true_positives,confidence,iou,false_negatives,false_positives,FNR,FPR
0,bicycle,28,14,0.970441494669233,0.5145744996857138,12,5,0.42857142857142855,0.17857142857142858
1,plant_horizontal,763,769,0.953851190128004,0.5165787968828001,57,94,0.07470511140235911,0.12319790301441677
2,bench_chair,70,48,0.9665742864211401,0.6298687298490687,18,18,0.2571428571428571,0.2571428571428571
3,building,859,903,0.9505897031009923,0.453722052048503,41,82,0.047729918509895226,0.09545983701979045
4,pavement,681,613,0.9679931430404377,0.6706756484470353,55,32,0.08076358296622614,0.04698972099853157
5,sign,22,6,0.9517123997211456,0.7548916201989418,15,4,0.6818181818181818,0.18181818181818182
6,construction,20,4,0.8768660724163055,0.38551215353327495,15,4,0.75,0.2
7,bus,14,11,0.9869714325124567,0.8487249666470764,3,7,0.21428571428571427,0.5
8,sculpture,55,20,0.9580372363328934,0.5338429275498251,36,7,0.6545454545454545,0.12727272727272726
9,plant_vertical,998,1413,0.9460447002030904,0.3627236619258859,16,123,0.01603206412825651,0.12324649298597194
10,car,248,218,0.9560303767339899,0.5864352862532811,18,10,0.07258064516129033,0.04032258064516129
11,sky,703,781,0.9535083665432607,0.5093317575236405,44,56,0.06258890469416785,0.07965860597439545
12,person,389,370,0.979090648728448,0.647823938637571,28,27,0.07197943444730077,0.06940874035989718
13,scooter,18,9,0.9900090297063192,0.4507777801826571,4,0,0.2222222222222222,0.0
14,pole,221,154,0.9503772231665525,0.3294033521047211,81,89,0.3665158371040724,0.40271493212669685
