/Users/pslive1/Documents/Walk_Projext/BDL037_Suna_Walk_Take2/BDL037_Suna_EyeTracking_Walk2_Render/BDL037_Suna_EyeTracking_Walk2_Render.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes
BDL037_Suna_EyeTracking_Walk2_Render.mov,31,fixation,386,12850.000000,13016.666667,166.666667,12515.000000,00:00:12.88300,155.630000,227.770000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,32,fixation,398,13283.333333,13385.000000,101.666667,12915.000000,00:00:13.28300,130.470000,289.540000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,33,fixation,408,13585.000000,13718.333333,133.333333,13250.000000,00:00:13.61800,270.820000,375.940000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,34,fixation,412,13718.333333,13885.000000,166.666667,13383.333333,00:00:13.75200,260.750000,352.730000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,35,fixation,426,14151.666667,14351.666667,200.000000,13850.000000,00:00:14.21800,224.270000,386.250000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,36,fixation,434,14485.000000,14585.000000,100.000000,14116.666667,00:00:14.48500,248.030000,456.240000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,37,fixation,448,14853.333333,15120.000000,266.666667,14585.000000,00:00:14.95300,245.180000,461.170000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,38,fixation,455,15120.000000,15353.333333,233.333333,14818.333333,00:00:15.18700,201.210000,243.570000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,39,fixation,472,15420.000000,16155.000000,735.000000,15385.000000,00:00:15.75300,195.390000,351.850000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,40,fixation,490,16255.000000,16555.000000,300.000000,15986.666667,00:00:16.35500,231.840000,339.490000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,41,fixation,506,16821.666667,17055.000000,233.333333,16520.000000,00:00:16.88800,163.850000,310.660000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,42,fixation,520,17355.000000,17456.666667,101.666667,16986.666667,00:00:17.35500,202.370000,328.480000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,43,fixation,533,17790.000000,17890.000000,100.000000,17421.666667,00:00:17.79000,169.430000,302.020000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,44,fixation,546,18090.000000,18456.666667,366.666667,17855.000000,00:00:18.22300,227.040000,458.820000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,45,fixation,573,19058.333333,19258.333333,200.000000,18756.666667,00:00:19.12500,447.290000,181.810000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,46,fixation,578,19291.666667,19391.666667,100.000000,18923.333333,00:00:19.29200,414.610000,154.190000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,47,fixation,583,19391.666667,19625.000000,233.333333,19090.000000,00:00:19.45800,392.970000,188.740000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,48,fixation,616,20326.666667,20860.000000,533.333333,20191.666667,00:00:20.56000,243.730000,271.380000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,49,fixation,645,21126.666667,22028.333333,901.666667,21160.000000,00:00:21.52800,349.620000,153.060000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,50,fixation,664,22128.333333,22261.666667,133.333333,21793.333333,00:00:22.16200,410.260000,157.270000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,51,fixation,685,22830.000000,22963.333333,133.333333,22495.000000,00:00:22.86300,379.740000,163.360000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,52,fixation,708,23530.000000,23796.666667,266.666667,23261.666667,00:00:23.63000,280.000000,284.030000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,53,fixation,753,23896.666667,26433.333333,2536.666667,24763.333333,00:00:25.13200,261.680000,194.480000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,54,fixation,824,27068.333333,28035.000000,966.666667,27133.333333,00:00:27.50200,169.600000,52.680000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,55,fixation,848,28170.000000,28503.333333,333.333333,27935.000000,00:00:28.30300,224.790000,149.740000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,56,fixation,856,28536.666667,28670.000000,133.333333,28201.666667,00:00:28.57000,264.960000,178.530000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,57,fixation,877,29203.333333,29405.000000,201.666667,28901.666667,00:00:29.27000,230.580000,222.040000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,58,fixation,886,29505.000000,29705.000000,200.000000,29203.333333,00:00:29.57200,209.970000,198.750000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,59,fixation,899,30005.000000,30105.000000,100.000000,29636.666667,00:00:30.00500,50.640000,138.980000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,60,fixation,909,30305.000000,30438.333333,133.333333,29970.000000,00:00:30.33800,99.140000,252.940000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,61,fixation,914,30471.666667,30638.333333,166.666667,30136.666667,00:00:30.50500,98.570000,294.070000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,62,fixation,946,31540.000000,31706.666667,166.666667,31205.000000,00:00:31.57300,168.780000,110.750000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,63,fixation,953,31773.333333,31940.000000,166.666667,31438.333333,00:00:31.80700,146.260000,128.200000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,64,fixation,1007,33610.000000,33710.000000,100.000000,33241.666667,00:00:33.61000,229.050000,441.380000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,65,fixation,1025,34143.333333,34376.666667,233.333333,33841.666667,00:00:34.21000,282.400000,398.150000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,66,fixation,1030,34376.666667,34476.666667,100.000000,34008.333333,00:00:34.37700,245.890000,361.710000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,67,fixation,1043,34778.333333,34911.666667,133.333333,34443.333333,00:00:34.81200,273.920000,346.090000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,68,fixation,1051,34978.333333,35245.000000,266.666667,34710.000000,00:00:35.07800,199.410000,341.540000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,69,fixation,1060,35345.000000,35478.333333,133.333333,35010.000000,00:00:35.37800,237.070000,416.950000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,70,fixation,1070,35678.333333,35811.666667,133.333333,35343.333333,00:00:35.71200,202.660000,278.660000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,71,fixation,1089,36246.666667,36513.333333,266.666667,35978.333333,00:00:36.34700,240.900000,274.050000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,72,fixation,1108,36946.666667,37113.333333,166.666667,36611.666667,00:00:36.98000,232.680000,281.880000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,73,fixation,1115,37180.000000,37346.666667,166.666667,36845.000000,00:00:37.21300,284.680000,284.120000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,74,fixation,1128,37346.666667,38015.000000,668.333333,37280.000000,00:00:37.64800,253.400000,274.140000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,75,fixation,1151,38348.333333,38548.333333,200.000000,38046.666667,00:00:38.41500,291.930000,280.820000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,76,fixation,1164,38783.333333,38983.333333,200.000000,38481.666667,00:00:38.85000,233.580000,417.570000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,77,fixation,1170,38983.333333,39216.666667,233.333333,38681.666667,00:00:39.05000,244.830000,402.270000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,78,fixation,1175,39216.666667,39316.666667,100.000000,38848.333333,00:00:39.21700,251.140000,433.940000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,79,fixation,1179,39316.666667,39483.333333,166.666667,38981.666667,00:00:39.35000,266.230000,454.050000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,80,fixation,1187,39616.666667,39716.666667,100.000000,39248.333333,00:00:39.61700,246.290000,371.430000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,81,fixation,1191,39716.666667,39883.333333,166.666667,39381.666667,00:00:39.75000,243.150000,349.370000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,82,fixation,1205,40185.000000,40351.666667,166.666667,39850.000000,00:00:40.21800,249.490000,275.740000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,83,fixation,1213,40451.666667,40585.000000,133.333333,40116.666667,00:00:40.48500,266.230000,308.240000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,84,fixation,1222,40751.666667,40918.333333,166.666667,40416.666667,00:00:40.78500,246.320000,407.000000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,85,fixation,1237,40918.333333,41753.333333,835.000000,40916.666667,00:00:41.28500,221.190000,386.840000,-1000.000000,-1000.000000,,,
