/Users/pslive1/Documents/Walk_Projext/BDL079_Daisy_Walk_RouteP1/BDL079_Daisy_Walk_RouteP1.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes
BDL079_Daisy_Walk_RouteP1.mov,33,fixation,442,14686.666667,14920.000000,233.333333,14718.333333,00:00:14.75300,263.290000,202.880000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,34,fixation,477,15420.000000,16488.333333,1068.333333,15886.666667,00:00:15.92200,262.350000,203.230000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,35,fixation,496,16521.666667,16655.000000,133.333333,16520.000000,00:00:16.55500,263.560000,203.000000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,36,fixation,500,16688.333333,16788.333333,100.000000,16653.333333,00:00:16.68800,263.680000,202.990000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,37,fixation,504,16788.333333,16921.666667,133.333333,16786.666667,00:00:16.82200,27.340000,117.000000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,38,fixation,510,17023.333333,17123.333333,100.000000,16988.333333,00:00:17.02300,51.160000,107.120000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,39,fixation,515,17156.666667,17290.000000,133.333333,17155.000000,00:00:17.19000,44.660000,112.700000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,40,fixation,522,17290.000000,17656.666667,366.666667,17388.333333,00:00:17.42300,263.020000,203.100000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,41,fixation,539,17890.000000,18190.000000,300.000000,17955.000000,00:00:17.99000,261.620000,203.320000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,42,fixation,552,18391.666667,18525.000000,133.333333,18390.000000,00:00:18.42500,218.790000,213.190000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,43,fixation,557,18591.666667,18691.666667,100.000000,18556.666667,00:00:18.59200,184.970000,220.690000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,44,fixation,562,18758.333333,18858.333333,100.000000,18723.333333,00:00:18.75800,298.420000,195.340000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,45,fixation,567,18858.333333,19058.333333,200.000000,18890.000000,00:00:18.92500,291.190000,196.130000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,46,fixation,584,19358.333333,19693.333333,335.000000,19456.666667,00:00:19.49200,238.940000,209.180000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,47,fixation,604,19793.333333,20626.666667,833.333333,20125.000000,00:00:20.16000,263.700000,202.980000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,48,fixation,637,21195.000000,21395.000000,200.000000,21226.666667,00:00:21.26200,267.060000,201.950000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,49,fixation,643,21428.333333,21561.666667,133.333333,21426.666667,00:00:21.46200,268.190000,201.520000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,50,fixation,652,21695.000000,21928.333333,233.333333,21726.666667,00:00:21.76200,268.890000,201.630000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,51,fixation,657,21928.333333,22028.333333,100.000000,21893.333333,00:00:21.92800,0.010000,124.960000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,52,fixation,666,22128.333333,22396.666667,268.333333,22195.000000,00:00:22.23000,269.580000,201.710000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,53,fixation,679,22563.333333,22863.333333,300.000000,22628.333333,00:00:22.66300,243.390000,207.870000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,54,fixation,732,24398.333333,24531.666667,133.333333,24396.666667,00:00:24.43200,270.230000,201.370000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,55,fixation,759,25100.000000,25666.666667,566.666667,25298.333333,00:00:25.33300,261.290000,203.360000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,56,fixation,780,25700.000000,26468.333333,768.333333,25998.333333,00:00:26.03300,261.110000,203.110000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,57,fixation,814,27101.666667,27301.666667,200.000000,27133.333333,00:00:27.16800,241.270000,209.110000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,58,fixation,832,27670.000000,27970.000000,300.000000,27735.000000,00:00:27.77000,281.700000,198.230000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,59,fixation,841,28070.000000,28170.000000,100.000000,28035.000000,00:00:28.07000,259.210000,202.970000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,60,fixation,849,28303.333333,28436.666667,133.333333,28301.666667,00:00:28.33700,264.680000,201.940000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,61,fixation,860,28670.000000,28805.000000,135.000000,28670.000000,00:00:28.70500,271.640000,200.680000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,62,fixation,872,28838.333333,29438.333333,600.000000,29070.000000,00:00:29.10500,262.160000,202.100000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,63,fixation,885,29471.666667,29671.666667,200.000000,29503.333333,00:00:29.53800,262.890000,201.730000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,64,fixation,894,29705.000000,30073.333333,368.333333,29803.333333,00:00:29.83800,255.100000,203.890000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,65,fixation,902,30106.666667,30206.666667,100.000000,30071.666667,00:00:30.10700,305.600000,193.550000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,66,fixation,917,30606.666667,30706.666667,100.000000,30571.666667,00:00:30.60700,272.410000,198.270000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,67,fixation,938,30806.666667,31875.000000,1068.333333,31273.333333,00:00:31.30800,247.920000,207.570000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,68,fixation,962,31908.333333,32408.333333,500.000000,32073.333333,00:00:32.10800,244.350000,207.900000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,69,fixation,975,32475.000000,32710.000000,235.000000,32506.666667,00:00:32.54200,250.110000,207.280000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,70,fixation,981,32743.333333,32843.333333,100.000000,32708.333333,00:00:32.74300,250.590000,206.870000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,71,fixation,987,32876.666667,33076.666667,200.000000,32908.333333,00:00:32.94300,249.640000,206.940000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,72,fixation,1002,33410.000000,33543.333333,133.333333,33408.333333,00:00:33.44300,168.510000,223.260000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,73,fixation,1007,33576.666667,33710.000000,133.333333,33575.000000,00:00:33.61000,233.610000,209.950000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,74,fixation,1013,33810.000000,33911.666667,101.666667,33775.000000,00:00:33.81000,167.280000,226.330000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,75,fixation,1019,34011.666667,34111.666667,100.000000,33976.666667,00:00:34.01200,235.520000,209.880000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,76,fixation,1029,34211.666667,34578.333333,366.666667,34310.000000,00:00:34.34500,260.060000,203.150000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,77,fixation,1044,34845.000000,34945.000000,100.000000,34810.000000,00:00:34.84500,260.020000,200.860000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,78,fixation,1057,35246.666667,35413.333333,166.666667,35245.000000,00:00:35.28000,287.340000,198.110000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,79,fixation,1068,35513.333333,35880.000000,366.666667,35611.666667,00:00:35.64700,245.190000,207.430000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,80,fixation,1093,36446.666667,36581.666667,135.000000,36445.000000,00:00:36.48000,255.090000,203.970000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,81,fixation,1109,36981.666667,37115.000000,133.333333,36980.000000,00:00:37.01500,249.550000,207.460000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,82,fixation,1148,38250.000000,38483.333333,233.333333,38281.666667,00:00:38.31700,246.120000,208.040000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,83,fixation,1159,38683.333333,38783.333333,100.000000,38648.333333,00:00:38.68300,157.050000,316.460000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,84,fixation,1181,39151.666667,39785.000000,633.333333,39383.333333,00:00:39.41800,248.330000,207.100000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,85,fixation,1198,39985.000000,40085.000000,100.000000,39950.000000,00:00:39.98500,288.600000,197.480000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,86,fixation,1213,40351.666667,40720.000000,368.333333,40451.666667,00:00:40.48700,246.410000,207.500000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,87,fixation,1222,40753.333333,40886.666667,133.333333,40751.666667,00:00:40.78700,249.460000,206.910000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,88,fixation,1235,40920.000000,41586.666667,666.666667,41185.000000,00:00:41.22000,249.580000,206.880000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,89,fixation,1257,41821.666667,42188.333333,366.666667,41920.000000,00:00:41.95500,249.950000,206.770000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,90,fixation,1267,42221.666667,42455.000000,233.333333,42253.333333,00:00:42.28800,246.850000,207.450000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,91,fixation,1278,42655.000000,42755.000000,100.000000,42620.000000,00:00:42.65500,214.720000,213.780000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,92,fixation,1288,42755.000000,43290.000000,535.000000,42953.333333,00:00:42.98800,246.700000,207.440000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,93,fixation,1304,43523.333333,43623.333333,100.000000,43488.333333,00:00:43.52300,298.340000,195.530000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,94,fixation,1308,43656.666667,43756.666667,100.000000,43621.666667,00:00:43.65700,287.130000,198.120000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,95,fixation,1319,43990.000000,44156.666667,166.666667,43988.333333,00:00:44.02300,201.330000,216.220000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,96,fixation,1328,44256.666667,44491.666667,235.000000,44288.333333,00:00:44.32300,198.660000,216.350000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,97,fixation,1365,45491.666667,45726.666667,235.000000,45523.333333,00:00:45.55800,283.940000,197.310000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,98,fixation,1372,45793.333333,45893.333333,100.000000,45758.333333,00:00:45.79300,230.720000,212.640000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,99,fixation,1388,46260.000000,46493.333333,233.333333,46291.666667,00:00:46.32700,262.110000,202.440000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,100,fixation,1407,46526.666667,47495.000000,968.333333,46926.666667,00:00:46.96200,283.920000,198.860000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,101,fixation,1437,47828.333333,48161.666667,333.333333,47926.666667,00:00:47.96200,233.100000,210.210000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,102,fixation,1444,48161.666667,48296.666667,135.000000,48160.000000,00:00:48.19500,218.220000,213.140000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,103,fixation,1459,48296.666667,49163.333333,866.666667,48661.666667,00:00:48.69700,235.310000,209.360000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,104,fixation,1490,49698.333333,49865.000000,166.666667,49696.666667,00:00:49.73200,218.830000,213.460000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,105,fixation,1516,49865.000000,51433.333333,1568.333333,50563.333333,00:00:50.59800,246.660000,207.290000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,106,fixation,1546,51566.666667,51700.000000,133.333333,51565.000000,00:00:51.60000,275.920000,198.550000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,107,fixation,1576,52435.000000,52868.333333,433.333333,52566.666667,00:00:52.60200,249.970000,206.790000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,108,fixation,1584,52868.333333,52968.333333,100.000000,52833.333333,00:00:52.86800,213.360000,214.510000,-1000.000000,-1000.000000,,,
BDL079_Daisy_Walk_RouteP1.mov,109,fixation,1601,53368.333333,53603.333333,235.000000,53400.000000,00:00:53.43500,217.680000,213.660000,-1000.000000,-1000.000000,,,
