/Users/pslive1/Documents/Walk_Projext/BDL004_Goose_EyeTracking_Walk/BDL004_Goose_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,ToCut
BDL004_Goose_EyeTracking_Walk.mov,46,fixation,713,23765,23898.33333,133.333333,23730,00:23.8,229.67,274.3,32,59,
BDL004_Goose_EyeTracking_Walk.mov,47,fixation,737,24600,24700,100,24531.66667,00:24.6,351.43,394.35,63,58,
BDL004_Goose_EyeTracking_Walk.mov,48,fixation,775,24700,27103.33333,2403.333333,25800,00:25.9,348.77,387.83,52,52,
BDL004_Goose_EyeTracking_Walk.mov,49,fixation,815,27170,27336.66667,166.666667,27135,00:27.2,360.35,418.15,58,72,
BDL004_Goose_EyeTracking_Walk.mov,50,fixation,834,27836.66667,27936.66667,100,27768.33333,00:27.8,332.74,419.94,60,72,
BDL004_Goose_EyeTracking_Walk.mov,51,fixation,870,29005,29138.33333,133.333333,28970,00:29.0,318.87,458.48,70,70,
BDL004_Goose_EyeTracking_Walk.mov,52,fixation,879,29271.66667,29506.66667,235,29271.66667,00:29.3,336.23,396.71,67,73,
BDL004_Goose_EyeTracking_Walk.mov,53,fixation,906,29973.33333,30573.33333,600,30171.66667,00:30.2,266.52,284.57,92,92,
BDL004_Goose_EyeTracking_Walk.mov,54,fixation,923,30775,30941.66667,166.666667,30740,00:30.8,199.65,412.55,124,124,
BDL004_Goose_EyeTracking_Walk.mov,55,fixation,931,31041.66667,31175,133.333333,31006.66667,00:31.1,198.25,325.21,124,124,
BDL004_Goose_EyeTracking_Walk.mov,56,fixation,960,32043.33333,32143.33333,100,31975,00:32.0,142.86,195.09,131,107,
BDL004_Goose_EyeTracking_Walk.mov,57,fixation,965,32176.66667,32310,133.333333,32141.66667,00:32.2,153.64,155.37,103,109,
BDL004_Goose_EyeTracking_Walk.mov,58,fixation,969,32343.33333,32443.33333,100,32275,00:32.3,156.05,105.75,139,114,
BDL004_Goose_EyeTracking_Walk.mov,59,fixation,976,32576.66667,32676.66667,100,32508.33333,00:32.6,183.35,175.32,164,118,
BDL004_Goose_EyeTracking_Walk.mov,60,fixation,985,32843.33333,32976.66667,133.333333,32808.33333,00:32.9,217.53,333.1,66,113,
BDL004_Goose_EyeTracking_Walk.mov,61,fixation,990,33010,33178.33333,168.333333,32975,00:33.0,229.3,322.33,59,103,
BDL004_Goose_EyeTracking_Walk.mov,62,fixation,1001,33378.33333,33511.66667,133.333333,33343.33333,00:33.4,213.86,144.09,87,120,
BDL004_Goose_EyeTracking_Walk.mov,63,fixation,1016,33911.66667,34011.66667,100,33843.33333,00:33.9,225.99,154.84,141,102,
BDL004_Goose_EyeTracking_Walk.mov,64,fixation,1024,34145,34311.66667,166.666667,34110,00:34.2,176.44,69.2,77,97,
BDL004_Goose_EyeTracking_Walk.mov,65,fixation,1031,34345,34546.66667,201.666667,34345,00:34.4,237.85,323.49,64,108,
BDL004_Goose_EyeTracking_Walk.mov,66,fixation,1046,34913.33333,35013.33333,100,34845,00:34.9,127.63,232.69,109,146,
BDL004_Goose_EyeTracking_Walk.mov,67,fixation,1050,35013.33333,35146.66667,133.333333,34978.33333,00:35.0,107.38,239.67,137,89,
BDL004_Goose_EyeTracking_Walk.mov,68,fixation,1073,35815,35915,100,35746.66667,00:35.8,190.83,123.81,77,96,
BDL004_Goose_EyeTracking_Walk.mov,69,fixation,1079,36015,36115,100,35946.66667,00:36.0,157.91,55.92,76,96,
BDL004_Goose_EyeTracking_Walk.mov,70,fixation,1090,36348.33333,36481.66667,133.333333,36313.33333,00:36.4,207.35,343.12,55,72,
BDL004_Goose_EyeTracking_Walk.mov,71,fixation,1097,36615,36715,100,36546.66667,00:36.6,183.9,334.25,53,50,
