,class,count,true_positives,confidence,iou,false_negatives,false_positives,FNR,FPR
0,pole,221,112,0.9680605892624173,0.46802862682127344,110,47,0.497737556561086,0.21266968325791855
1,sky,703,657,0.9738309225535284,0.5582099297202159,52,42,0.07396870554765292,0.059743954480796585
2,building,859,771,0.9715386912052734,0.4778072582489633,71,64,0.08265424912689173,0.07450523864959255
3,plant_horizontal,763,675,0.973773863668795,0.569896732179147,43,84,0.0563564875491481,0.11009174311926606
4,sign,22,5,0.9822057008743286,0.7805513165667998,16,4,0.7272727272727273,0.18181818181818182
5,construction,20,2,0.8591294586658478,0.5846055665087843,17,10,0.85,0.5
6,bicycle,28,13,0.977759416286762,0.48588354999394784,11,4,0.39285714285714285,0.14285714285714285
7,bus,14,10,0.9865062296390533,0.887556920166826,4,6,0.2857142857142857,0.42857142857142855
8,sculpture,55,20,0.9579986274242401,0.5515975187965738,33,4,0.6,0.07272727272727272
9,car,248,222,0.9731353438115334,0.5959697894698212,17,13,0.06854838709677419,0.05241935483870968
10,pavement,681,635,0.978301020776193,0.6631280276269977,35,38,0.0513950073421439,0.055800293685756244
11,plant_vertical,998,1082,0.9681365319739428,0.4368962120902536,30,92,0.03006012024048096,0.09218436873747494
12,person,389,370,0.9860111597422007,0.640276802567453,33,21,0.08483290488431877,0.05398457583547558
13,bench_chair,70,39,0.9736033983719654,0.7053733241178279,26,8,0.37142857142857144,0.11428571428571428
14,scooter,18,9,0.9891887770758735,0.5046676334677659,6,0,0.3333333333333333,0.0
