,class,count,true_positives,confidence,iou,false_negatives,false_positives,FNR,FPR
0,sign,22,0,0,0,22,0,1.0,0.0
1,pavement,681,0,0,0,679,0,0.9970631424375918,0.0
2,construction,20,0,0,0,20,0,1.0,0.0
3,bench_chair,70,0,0,0,70,0,1.0,0.0
4,person,389,172,0.9031670807405959,0.1526362491483205,210,85,0.5398457583547558,0.2185089974293059
5,scooter,18,0,0,0,12,0,0.6666666666666666,0.0
6,plant_horizontal,763,0,0,0,763,0,1.0,0.0
7,pole,221,0,0,0,219,0,0.9909502262443439,0.0
8,car,248,0,0,0,248,0,1.0,0.0
9,bicycle,28,0,0,0,28,0,1.0,0.0
10,sculpture,55,0,0,0,55,0,1.0,0.0
11,building,859,0,0,0,859,0,1.0,0.0
12,sky,703,0,0,0,701,0,0.9971550497866287,0.0
13,plant_vertical,998,0,0,0,996,0,0.9979959919839679,0.0
14,bus,14,3,0.9021177887916565,0.17884648623354313,11,4,0.7857142857142857,0.2857142857142857
