,class,count,true_positives,confidence,iou,false_negatives,false_positives,FNR,FPR
0,sign,22,8,0.948004737496376,0.7521410331098115,13,3,0.5909090909090909,0.13636363636363635
1,pole,221,107,0.9540029491219565,0.4772733975982606,114,42,0.5158371040723982,0.19004524886877827
2,building,859,703,0.958450462706228,0.5168707684885947,105,72,0.12223515715948778,0.08381839348079162
3,bicycle,28,11,0.9690557664090936,0.6035014301949365,12,3,0.42857142857142855,0.10714285714285714
4,sky,703,594,0.954854646515766,0.5960481092253355,76,34,0.10810810810810811,0.04836415362731152
5,plant_horizontal,763,666,0.9538642565409342,0.5730235226595238,58,67,0.07601572739187418,0.08781127129750983
6,scooter,18,9,0.9734004537264506,0.4633538895836817,6,0,0.3333333333333333,0.0
7,plant_vertical,998,1030,0.9520061076266094,0.4581902854585668,32,102,0.03206412825651302,0.10220440881763528
8,person,389,363,0.97904376205334,0.6556148043849619,31,17,0.07969151670951156,0.043701799485861184
9,car,248,205,0.9554106119202405,0.6068243355639952,19,7,0.07661290322580645,0.028225806451612902
10,bus,14,12,0.9654595951239268,0.8294709516736805,2,6,0.14285714285714285,0.42857142857142855
11,sculpture,55,18,0.9519253538714515,0.5726032779448994,39,3,0.7090909090909091,0.05454545454545454
12,construction,20,2,0.8779832422733307,0.5756456345085771,17,3,0.85,0.15
13,pavement,681,596,0.9714246385249515,0.6807232915424909,50,25,0.07342143906020558,0.03671071953010279
14,bench_chair,70,46,0.9592064606106799,0.6901961482089324,19,12,0.2714285714285714,0.17142857142857143
